name	country	lat	lon	population	timezone
Shanghai	CN	31.22222	121.45806	24874500	Asia/Shanghai
Beijing	CN	39.9075	116.39723	18960744	Asia/Shanghai
Shenzhen	CN	22.54554	114.0683	17494398	Asia/Shanghai
Guangzhou	CN	23.11667	113.25	16096724	Asia/Shanghai
Kinshasa	CD	-4.32758	15.31357	16000000	Africa/Kinshasa
Istanbul	TR	41.01384	28.94966	15701602	Europe/Istanbul
Lagos	NG	6.45407	3.39467	15388000	Africa/Lagos
Ho Chi Minh City	VN	10.82302	106.62965	14002598	Asia/Ho_Chi_Minh
Chengdu	CN	30.66667	104.06667	13568357	Asia/Shanghai
Lahore	PK	31.558	74.35071	13004135	Asia/Karachi
Mumbai	IN	19.07283	72.88261	12691836	Asia/Kolkata
São Paulo	BR	-23.5475	-46.63611	12400232	America/Sao_Paulo
Mexico City	MX	19.42847	-99.12766	12294193	America/Mexico_City
Karachi	PK	24.8608	67.0104	11624219	Asia/Karachi
Tianjin	CN	39.14222	117.17667	11090314	Asia/Shanghai
Delhi	IN	28.65195	77.23149	11034555	Asia/Kolkata
Wuhan	CN	30.58333	114.26667	10392693	Asia/Shanghai
Moscow	RU	55.75204	37.61781	10381222	Europe/Moscow
Dhaka	BD	23.7104	90.40744	10356500	Asia/Dhaka
Seoul	KR	37.566	126.9784	10349312	Asia/Seoul
Tokyo	JP	35.6895	139.69171	9733276	Asia/Tokyo
Dongguan	CN	23.01797	113.74866	9644871	Asia/Shanghai
Cairo	EG	30.06263	31.24967	9606916	Africa/Cairo
Xi’an	CN	34.25833	108.92861	9600000	Asia/Shanghai
Johannesburg	ZA	-26.20227	28.04363	9418183	Africa/Johannesburg
Nanjing	CN	32.06167	118.77778	9314685	Asia/Shanghai
Hangzhou	CN	30.29365	120.16142	9236032	Asia/Shanghai
Foshan	CN	23.02677	113.13148	9042509	Asia/Shanghai
London	GB	51.50853	-0.12574	8961989	Europe/London
New York City	US	40.71427	-74.00597	8804190	America/New_York
Jakarta	ID	-6.21462	106.84513	8540121	Asia/Jakarta
Bengaluru	IN	12.97194	77.59369	8495492	Asia/Kolkata
Hanoi	VN	21.0245	105.84117	8053663	Asia/Bangkok
Taipei	TW	25.05306	121.52639	7871900	Asia/Taipei
Lima	PE	-12.04318	-77.02824	7737002	America/Lima
Bogotá	CO	4.60971	-74.08175	7674366	America/Bogota
Chongqing	CN	29.56026	106.55771	7457599	Asia/Shanghai
Hong Kong	HK	22.27832	114.17469	7396076	Asia/Hong_Kong
Baghdad	IQ	33.34058	44.40088	7216000	Asia/Baghdad
Wuzhong	CN	37.9867	106.201	7202654	Asia/Shanghai
Qingdao	CN	36.06488	120.38042	7172451	Asia/Shanghai
Tehran	IR	35.69439	51.42151	7153309	Asia/Tehran
Shenyang	CN	41.79222	123.43278	7050000	Asia/Shanghai
Hyderabad	IN	17.38405	78.45636	6993262	Asia/Kolkata
Rio de Janeiro	BR	-22.90642	-43.18223	6747815	America/Sao_Paulo
Suzhou	CN	31.30408	120.59538	6715559	Asia/Shanghai
Ahmedabad	IN	23.02579	72.58727	6357693	Asia/Kolkata
Abidjan	CI	5.35444	-4.00167	6321017	Africa/Abidjan
Pudong	CN	31.23995	121.50094	5681512	Asia/Shanghai
Singapore	SG	1.28967	103.85007	5638700	Asia/Singapore
Sydney	AU	-33.86785	151.20732	5557233	Australia/Sydney
Dar es Salaam	TZ	-6.82349	39.26951	5383728	Africa/Dar_es_Salaam
Saint Petersburg	RU	59.93863	30.31413	5351935	Europe/Moscow
Melbourne	AU	-37.814	144.96332	5350705	Australia/Melbourne
Alexandria	EG	31.20176	29.91582	5263542	Africa/Cairo
Harbin	CN	45.75	126.65	5242897	Asia/Shanghai
Bangkok	TH	13.75398	100.50144	5104476	Asia/Bangkok
Hefei	CN	31.86389	117.28083	5050000	Asia/Shanghai
Dalian	CN	38.91222	121.60222	4913879	Asia/Shanghai
Kano	NG	12.00012	8.51672	4910000	Africa/Lagos
Santiago	CL	-33.45694	-70.64827	4837295	America/Santiago
Cape Town	ZA	-33.92584	18.42322	4772846	Africa/Johannesburg
Peshawar	PK	34.008	71.57849	4758762	Asia/Karachi
Changchun	CN	43.88	125.32278	4714996	Asia/Shanghai
Jeddah	SA	21.49012	39.18624	4697000	Asia/Riyadh
Chennai	IN	13.08784	80.27847	4681087	Asia/Kolkata
Kolkata	IN	22.56263	88.36304	4631392	Asia/Kolkata
Xiamen	CN	24.47979	118.08187	4617251	Asia/Shanghai
Surat	IN	21.19594	72.83023	4591246	Asia/Kolkata
Yangon	MM	16.80528	96.15611	4477638	Asia/Yangon
Bao'an	CN	22.55213	113.88288	4476554	Asia/Shanghai
Kabul	AF	34.52813	69.17233	4434550	Asia/Kabul
Nairobi	KE	-1.28333	36.81667	4397073	Africa/Nairobi
Wuxi	CN	31.56887	120.28857	4396835	Asia/Shanghai
Giza	EG	30.00944	31.20861	4367343	Africa/Cairo
Jinan	CN	36.66833	116.99722	4335989	Asia/Shanghai
Taiyuan	CN	37.86944	112.56028	4303673	Asia/Shanghai
Zhengzhou	CN	34.75778	113.64861	4253913	Asia/Shanghai
Bamako	ML	12.60915	-7.97522	4227569	Africa/Bamako
Riyadh	SA	24.68773	46.72185	4205961	Asia/Riyadh
New Taipei City	TW	25.06199	121.45703	4004367	Asia/Taipei
New Territories	HK	22.42441	114.11095	3984077	Asia/Hong_Kong
Shijiazhuang	CN	38.04139	114.47861	3938513	Asia/Shanghai
Chattogram	BD	22.3384	91.83168	3920222	Asia/Dhaka
Addis Ababa	ET	9.02497	38.74689	3860000	Africa/Addis_Ababa
Kunming	CN	25.03889	102.71833	3855346	Asia/Shanghai
Zhongshan	CN	22.52306	113.37912	3841873	Asia/Shanghai
Nanning	CN	22.81667	108.31667	3839800	Asia/Shanghai
Shantou	CN	23.35489	116.67876	3838900	Asia/Shanghai
Los Angeles	US	34.05223	-118.24368	3820914	America/Los_Angeles
Faisalabad	PK	31.41554	73.08969	3800193	Asia/Karachi
Dubai	AE	25.07725	55.30927	3790000	Asia/Dubai
Yokohama	JP	35.43333	139.65	3777491	Asia/Tokyo
Fuzhou	CN	26.06139	119.30611	3740000	Asia/Shanghai
Ningbo	CN	29.87819	121.54945	3731203	Asia/Shanghai
Casablanca	MA	33.58831	-7.61138	3665954	Africa/Casablanca
Ibadan	NG	7.37756	3.90591	3649000	Africa/Lagos
Puyang	CN	29.45679	119.88872	3590000	Asia/Shanghai
Ankara	TR	39.91987	32.85427	3517182	Europe/Istanbul
Shiyan	CN	32.6475	110.77806	3460000	Asia/Shanghai
Berlin	DE	52.52437	13.41053	3426354	Europe/Berlin
Tangshan	CN	39.64381	118.18319	3372102	Asia/Shanghai
Rawalpindi	PK	33.59733	73.0479	3357612	Asia/Karachi
Lüliang	CN	37.5192	111.14436	3346500	Asia/Shanghai
